case_id,method,pred_path,pred_exists,gt_path,gt_exists
BraTS-GLI-00528-100,rango_doble,output\segmentacion\BraTS-GLI-00528-100\BraTS-GLI-00528-100-et_rango_doble.nii.gz,True,images\BraTS-GLI-00528-100\BraTS-GLI-00528-100-seg.nii.gz,True
BraTS-GLI-00528-100,spline,output\segmentacion\BraTS-GLI-00528-100\BraTS-GLI-00528-100-et_spline.nii.gz,True,images\BraTS-GLI-00528-100\BraTS-GLI-00528-100-seg.nii.gz,True
BraTS-GLI-00528-100,sustraccion,output\segmentacion\BraTS-GLI-00528-100\BraTS-GLI-00528-100-et_sustraccion.nii.gz,True,images\BraTS-GLI-00528-100\BraTS-GLI-00528-100-seg.nii.gz,True
BraTS-GLI-00528-100,variational_spline,output\segmentacion\BraTS-GLI-00528-100\BraTS-GLI-00528-100-et_variational_spline.nii.gz,True,images\BraTS-GLI-00528-100\BraTS-GLI-00528-100-seg.nii.gz,True
BraTS-GLI-00533-100,bspline,output\segmentacion\BraTS-GLI-00533-100\BraTS-GLI-00533-100-et_bspline.nii.gz,True,images\BraTS-GLI-00533-100\BraTS-GLI-00533-100-seg.nii.gz,True
BraTS-GLI-00533-100,fast_marching,output\segmentacion\BraTS-GLI-00533-100\BraTS-GLI-00533-100-et_fast_marching.nii.gz,True,images\BraTS-GLI-00533-100\BraTS-GLI-00533-100-seg.nii.gz,True
BraTS-GLI-00533-100,gmm_2d,output\segmentacion\BraTS-GLI-00533-100\BraTS-GLI-00533-100-et_gmm_2d.nii.gz,True,images\BraTS-GLI-00533-100\BraTS-GLI-00533-100-seg.nii.gz,True
BraTS-GLI-00533-100,gmm_T1c,output\segmentacion\BraTS-GLI-00533-100\BraTS-GLI-00533-100-et_gmm_T1c.nii.gz,True,images\BraTS-GLI-00533-100\BraTS-GLI-00533-100-seg.nii.gz,True
BraTS-GLI-00533-100,level_set,output\segmentacion\BraTS-GLI-00533-100\BraTS-GLI-00533-100-et_level_set.nii.gz,True,images\BraTS-GLI-00533-100\BraTS-GLI-00533-100-seg.nii.gz,True
BraTS-GLI-00533-100,otsu_T1c,output\segmentacion\BraTS-GLI-00533-100\BraTS-GLI-00533-100-et_otsu_T1c.nii.gz,True,images\BraTS-GLI-00533-100\BraTS-GLI-00533-100-seg.nii.gz,True
BraTS-GLI-00533-100,rango_doble,output\segmentacion\BraTS-GLI-00533-100\BraTS-GLI-00533-100-et_rango_doble.nii.gz,True,images\BraTS-GLI-00533-100\BraTS-GLI-00533-100-seg.nii.gz,True
BraTS-GLI-00533-100,spline,output\segmentacion\BraTS-GLI-00533-100\BraTS-GLI-00533-100-et_spline.nii.gz,True,images\BraTS-GLI-00533-100\BraTS-GLI-00533-100-seg.nii.gz,True
BraTS-GLI-00533-100,sustraccion,output\segmentacion\BraTS-GLI-00533-100\BraTS-GLI-00533-100-et_sustraccion.nii.gz,True,images\BraTS-GLI-00533-100\BraTS-GLI-00533-100-seg.nii.gz,True
BraTS-GLI-00533-100,variational_spline,output\segmentacion\BraTS-GLI-00533-100\BraTS-GLI-00533-100-et_variational_spline.nii.gz,True,images\BraTS-GLI-00533-100\BraTS-GLI-00533-100-seg.nii.gz,True
BraTS-GLI-02066-100,bspline,output\segmentacion\BraTS-GLI-02066-100\BraTS-GLI-02066-100-et_bspline.nii.gz,True,images\BraTS-GLI-02066-100\BraTS-GLI-02066-100-seg.nii.gz,True
BraTS-GLI-02066-100,fast_marching,output\segmentacion\BraTS-GLI-02066-100\BraTS-GLI-02066-100-et_fast_marching.nii.gz,True,images\BraTS-GLI-02066-100\BraTS-GLI-02066-100-seg.nii.gz,True
BraTS-GLI-02066-100,gmm_2d,output\segmentacion\BraTS-GLI-02066-100\BraTS-GLI-02066-100-et_gmm_2d.nii.gz,True,images\BraTS-GLI-02066-100\BraTS-GLI-02066-100-seg.nii.gz,True
BraTS-GLI-02066-100,gmm_T1c,output\segmentacion\BraTS-GLI-02066-100\BraTS-GLI-02066-100-et_gmm_T1c.nii.gz,True,images\BraTS-GLI-02066-100\BraTS-GLI-02066-100-seg.nii.gz,True
BraTS-GLI-02066-100,level_set,output\segmentacion\BraTS-GLI-02066-100\BraTS-GLI-02066-100-et_level_set.nii.gz,True,images\BraTS-GLI-02066-100\BraTS-GLI-02066-100-seg.nii.gz,True
BraTS-GLI-02066-100,otsu_T1c,output\segmentacion\BraTS-GLI-02066-100\BraTS-GLI-02066-100-et_otsu_T1c.nii.gz,True,images\BraTS-GLI-02066-100\BraTS-GLI-02066-100-seg.nii.gz,True
BraTS-GLI-02066-100,rango_doble,output\segmentacion\BraTS-GLI-02066-100\BraTS-GLI-02066-100-et_rango_doble.nii.gz,True,images\BraTS-GLI-02066-100\BraTS-GLI-02066-100-seg.nii.gz,True
BraTS-GLI-02066-100,spline,output\segmentacion\BraTS-GLI-02066-100\BraTS-GLI-02066-100-et_spline.nii.gz,True,images\BraTS-GLI-02066-100\BraTS-GLI-02066-100-seg.nii.gz,True
BraTS-GLI-02066-100,sustraccion,output\segmentacion\BraTS-GLI-02066-100\BraTS-GLI-02066-100-et_sustraccion.nii.gz,True,images\BraTS-GLI-02066-100\BraTS-GLI-02066-100-seg.nii.gz,True
BraTS-GLI-02066-100,variational_spline,output\segmentacion\BraTS-GLI-02066-100\BraTS-GLI-02066-100-et_variational_spline.nii.gz,True,images\BraTS-GLI-02066-100\BraTS-GLI-02066-100-seg.nii.gz,True
BraTS-GLI-02071-100,bspline,output\segmentacion\BraTS-GLI-02071-100\BraTS-GLI-02071-100-et_bspline.nii.gz,True,images\BraTS-GLI-02071-100\BraTS-GLI-02071-100-seg.nii.gz,True
BraTS-GLI-02071-100,fast_marching,output\segmentacion\BraTS-GLI-02071-100\BraTS-GLI-02071-100-et_fast_marching.nii.gz,True,images\BraTS-GLI-02071-100\BraTS-GLI-02071-100-seg.nii.gz,True
BraTS-GLI-02071-100,gmm_2d,output\segmentacion\BraTS-GLI-02071-100\BraTS-GLI-02071-100-et_gmm_2d.nii.gz,True,images\BraTS-GLI-02071-100\BraTS-GLI-02071-100-seg.nii.gz,True
BraTS-GLI-02071-100,gmm_T1c,output\segmentacion\BraTS-GLI-02071-100\BraTS-GLI-02071-100-et_gmm_T1c.nii.gz,True,images\BraTS-GLI-02071-100\BraTS-GLI-02071-100-seg.nii.gz,True
BraTS-GLI-02071-100,level_set,output\segmentacion\BraTS-GLI-02071-100\BraTS-GLI-02071-100-et_level_set.nii.gz,True,images\BraTS-GLI-02071-100\BraTS-GLI-02071-100-seg.nii.gz,True
BraTS-GLI-02071-100,otsu_T1c,output\segmentacion\BraTS-GLI-02071-100\BraTS-GLI-02071-100-et_otsu_T1c.nii.gz,True,images\BraTS-GLI-02071-100\BraTS-GLI-02071-100-seg.nii.gz,True
BraTS-GLI-02071-100,rango_doble,output\segmentacion\BraTS-GLI-02071-100\BraTS-GLI-02071-100-et_rango_doble.nii.gz,True,images\BraTS-GLI-02071-100\BraTS-GLI-02071-100-seg.nii.gz,True
BraTS-GLI-02071-100,spline,output\segmentacion\BraTS-GLI-02071-100\BraTS-GLI-02071-100-et_spline.nii.gz,True,images\BraTS-GLI-02071-100\BraTS-GLI-02071-100-seg.nii.gz,True
BraTS-GLI-02071-100,sustraccion,output\segmentacion\BraTS-GLI-02071-100\BraTS-GLI-02071-100-et_sustraccion.nii.gz,True,images\BraTS-GLI-02071-100\BraTS-GLI-02071-100-seg.nii.gz,True
BraTS-GLI-02071-100,variational_spline,output\segmentacion\BraTS-GLI-02071-100\BraTS-GLI-02071-100-et_variational_spline.nii.gz,True,images\BraTS-GLI-02071-100\BraTS-GLI-02071-100-seg.nii.gz,True
BraTS-GLI-02078-100,bspline,output\segmentacion\BraTS-GLI-02078-100\BraTS-GLI-02078-100-et_bspline.nii.gz,True,images\BraTS-GLI-02078-100\BraTS-GLI-02078-100-seg.nii.gz,True
BraTS-GLI-02078-100,fast_marching,output\segmentacion\BraTS-GLI-02078-100\BraTS-GLI-02078-100-et_fast_marching.nii.gz,True,images\BraTS-GLI-02078-100\BraTS-GLI-02078-100-seg.nii.gz,True
BraTS-GLI-02078-100,gmm_2d,output\segmentacion\BraTS-GLI-02078-100\BraTS-GLI-02078-100-et_gmm_2d.nii.gz,True,images\BraTS-GLI-02078-100\BraTS-GLI-02078-100-seg.nii.gz,True
BraTS-GLI-02078-100,gmm_T1c,output\segmentacion\BraTS-GLI-02078-100\BraTS-GLI-02078-100-et_gmm_T1c.nii.gz,True,images\BraTS-GLI-02078-100\BraTS-GLI-02078-100-seg.nii.gz,True
BraTS-GLI-02078-100,level_set,output\segmentacion\BraTS-GLI-02078-100\BraTS-GLI-02078-100-et_level_set.nii.gz,True,images\BraTS-GLI-02078-100\BraTS-GLI-02078-100-seg.nii.gz,True
BraTS-GLI-02078-100,otsu_T1c,output\segmentacion\BraTS-GLI-02078-100\BraTS-GLI-02078-100-et_otsu_T1c.nii.gz,True,images\BraTS-GLI-02078-100\BraTS-GLI-02078-100-seg.nii.gz,True
BraTS-GLI-02078-100,rango_doble,output\segmentacion\BraTS-GLI-02078-100\BraTS-GLI-02078-100-et_rango_doble.nii.gz,True,images\BraTS-GLI-02078-100\BraTS-GLI-02078-100-seg.nii.gz,True
BraTS-GLI-02078-100,spline,output\segmentacion\BraTS-GLI-02078-100\BraTS-GLI-02078-100-et_spline.nii.gz,True,images\BraTS-GLI-02078-100\BraTS-GLI-02078-100-seg.nii.gz,True
BraTS-GLI-02078-100,sustraccion,output\segmentacion\BraTS-GLI-02078-100\BraTS-GLI-02078-100-et_sustraccion.nii.gz,True,images\BraTS-GLI-02078-100\BraTS-GLI-02078-100-seg.nii.gz,True
BraTS-GLI-02078-100,variational_spline,output\segmentacion\BraTS-GLI-02078-100\BraTS-GLI-02078-100-et_variational_spline.nii.gz,True,images\BraTS-GLI-02078-100\BraTS-GLI-02078-100-seg.nii.gz,True
BraTS-GLI-02086-100,bspline,output\segmentacion\BraTS-GLI-02086-100\BraTS-GLI-02086-100-et_bspline.nii.gz,True,images\BraTS-GLI-02086-100\BraTS-GLI-02086-100-seg.nii.gz,True
BraTS-GLI-02086-100,fast_marching,output\segmentacion\BraTS-GLI-02086-100\BraTS-GLI-02086-100-et_fast_marching.nii.gz,True,images\BraTS-GLI-02086-100\BraTS-GLI-02086-100-seg.nii.gz,True
BraTS-GLI-02086-100,gmm_2d,output\segmentacion\BraTS-GLI-02086-100\BraTS-GLI-02086-100-et_gmm_2d.nii.gz,True,images\BraTS-GLI-02086-100\BraTS-GLI-02086-100-seg.nii.gz,True
BraTS-GLI-02086-100,gmm_T1c,output\segmentacion\BraTS-GLI-02086-100\BraTS-GLI-02086-100-et_gmm_T1c.nii.gz,True,images\BraTS-GLI-02086-100\BraTS-GLI-02086-100-seg.nii.gz,True
BraTS-GLI-02086-100,level_set,output\segmentacion\BraTS-GLI-02086-100\BraTS-GLI-02086-100-et_level_set.nii.gz,True,images\BraTS-GLI-02086-100\BraTS-GLI-02086-100-seg.nii.gz,True
BraTS-GLI-02086-100,otsu_T1c,output\segmentacion\BraTS-GLI-02086-100\BraTS-GLI-02086-100-et_otsu_T1c.nii.gz,True,images\BraTS-GLI-02086-100\BraTS-GLI-02086-100-seg.nii.gz,True
BraTS-GLI-02086-100,rango_doble,output\segmentacion\BraTS-GLI-02086-100\BraTS-GLI-02086-100-et_rango_doble.nii.gz,True,images\BraTS-GLI-02086-100\BraTS-GLI-02086-100-seg.nii.gz,True
BraTS-GLI-02086-100,spline,output\segmentacion\BraTS-GLI-02086-100\BraTS-GLI-02086-100-et_spline.nii.gz,True,images\BraTS-GLI-02086-100\BraTS-GLI-02086-100-seg.nii.gz,True
BraTS-GLI-02086-100,sustraccion,output\segmentacion\BraTS-GLI-02086-100\BraTS-GLI-02086-100-et_sustraccion.nii.gz,True,images\BraTS-GLI-02086-100\BraTS-GLI-02086-100-seg.nii.gz,True
BraTS-GLI-02086-100,variational_spline,output\segmentacion\BraTS-GLI-02086-100\BraTS-GLI-02086-100-et_variational_spline.nii.gz,True,images\BraTS-GLI-02086-100\BraTS-GLI-02086-100-seg.nii.gz,True
BraTS-GLI-02102-100,bspline,output\segmentacion\BraTS-GLI-02102-100\BraTS-GLI-02102-100-et_bspline.nii.gz,True,images\BraTS-GLI-02102-100\BraTS-GLI-02102-100-seg.nii.gz,True
BraTS-GLI-02102-100,fast_marching,output\segmentacion\BraTS-GLI-02102-100\BraTS-GLI-02102-100-et_fast_marching.nii.gz,True,images\BraTS-GLI-02102-100\BraTS-GLI-02102-100-seg.nii.gz,True
BraTS-GLI-02102-100,gmm_2d,output\segmentacion\BraTS-GLI-02102-100\BraTS-GLI-02102-100-et_gmm_2d.nii.gz,True,images\BraTS-GLI-02102-100\BraTS-GLI-02102-100-seg.nii.gz,True
BraTS-GLI-02102-100,gmm_T1c,output\segmentacion\BraTS-GLI-02102-100\BraTS-GLI-02102-100-et_gmm_T1c.nii.gz,True,images\BraTS-GLI-02102-100\BraTS-GLI-02102-100-seg.nii.gz,True
BraTS-GLI-02102-100,level_set,output\segmentacion\BraTS-GLI-02102-100\BraTS-GLI-02102-100-et_level_set.nii.gz,True,images\BraTS-GLI-02102-100\BraTS-GLI-02102-100-seg.nii.gz,True
BraTS-GLI-02102-100,otsu_T1c,output\segmentacion\BraTS-GLI-02102-100\BraTS-GLI-02102-100-et_otsu_T1c.nii.gz,True,images\BraTS-GLI-02102-100\BraTS-GLI-02102-100-seg.nii.gz,True
BraTS-GLI-02102-100,rango_doble,output\segmentacion\BraTS-GLI-02102-100\BraTS-GLI-02102-100-et_rango_doble.nii.gz,True,images\BraTS-GLI-02102-100\BraTS-GLI-02102-100-seg.nii.gz,True
BraTS-GLI-02102-100,spline,output\segmentacion\BraTS-GLI-02102-100\BraTS-GLI-02102-100-et_spline.nii.gz,True,images\BraTS-GLI-02102-100\BraTS-GLI-02102-100-seg.nii.gz,True
BraTS-GLI-02102-100,sustraccion,output\segmentacion\BraTS-GLI-02102-100\BraTS-GLI-02102-100-et_sustraccion.nii.gz,True,images\BraTS-GLI-02102-100\BraTS-GLI-02102-100-seg.nii.gz,True
BraTS-GLI-02102-100,variational_spline,output\segmentacion\BraTS-GLI-02102-100\BraTS-GLI-02102-100-et_variational_spline.nii.gz,True,images\BraTS-GLI-02102-100\BraTS-GLI-02102-100-seg.nii.gz,True
BraTS-GLI-02108-100,bspline,output\segmentacion\BraTS-GLI-02108-100\BraTS-GLI-02108-100-et_bspline.nii.gz,True,images\BraTS-GLI-02108-100\BraTS-GLI-02108-100-seg.nii.gz,True
BraTS-GLI-02108-100,fast_marching,output\segmentacion\BraTS-GLI-02108-100\BraTS-GLI-02108-100-et_fast_marching.nii.gz,True,images\BraTS-GLI-02108-100\BraTS-GLI-02108-100-seg.nii.gz,True
BraTS-GLI-02108-100,gmm_2d,output\segmentacion\BraTS-GLI-02108-100\BraTS-GLI-02108-100-et_gmm_2d.nii.gz,True,images\BraTS-GLI-02108-100\BraTS-GLI-02108-100-seg.nii.gz,True
BraTS-GLI-02108-100,gmm_T1c,output\segmentacion\BraTS-GLI-02108-100\BraTS-GLI-02108-100-et_gmm_T1c.nii.gz,True,images\BraTS-GLI-02108-100\BraTS-GLI-02108-100-seg.nii.gz,True
BraTS-GLI-02108-100,level_set,output\segmentacion\BraTS-GLI-02108-100\BraTS-GLI-02108-100-et_level_set.nii.gz,True,images\BraTS-GLI-02108-100\BraTS-GLI-02108-100-seg.nii.gz,True
BraTS-GLI-02108-100,otsu_T1c,output\segmentacion\BraTS-GLI-02108-100\BraTS-GLI-02108-100-et_otsu_T1c.nii.gz,True,images\BraTS-GLI-02108-100\BraTS-GLI-02108-100-seg.nii.gz,True
BraTS-GLI-02108-100,rango_doble,output\segmentacion\BraTS-GLI-02108-100\BraTS-GLI-02108-100-et_rango_doble.nii.gz,True,images\BraTS-GLI-02108-100\BraTS-GLI-02108-100-seg.nii.gz,True
BraTS-GLI-02108-100,spline,output\segmentacion\BraTS-GLI-02108-100\BraTS-GLI-02108-100-et_spline.nii.gz,True,images\BraTS-GLI-02108-100\BraTS-GLI-02108-100-seg.nii.gz,True
BraTS-GLI-02108-100,sustraccion,output\segmentacion\BraTS-GLI-02108-100\BraTS-GLI-02108-100-et_sustraccion.nii.gz,True,images\BraTS-GLI-02108-100\BraTS-GLI-02108-100-seg.nii.gz,True
BraTS-GLI-02108-100,variational_spline,output\segmentacion\BraTS-GLI-02108-100\BraTS-GLI-02108-100-et_variational_spline.nii.gz,True,images\BraTS-GLI-02108-100\BraTS-GLI-02108-100-seg.nii.gz,True
BraTS-GLI-02116-100,bspline,output\segmentacion\BraTS-GLI-02116-100\BraTS-GLI-02116-100-et_bspline.nii.gz,True,images\BraTS-GLI-02116-100\BraTS-GLI-02116-100-seg.nii.gz,True
BraTS-GLI-02116-100,fast_marching,output\segmentacion\BraTS-GLI-02116-100\BraTS-GLI-02116-100-et_fast_marching.nii.gz,True,images\BraTS-GLI-02116-100\BraTS-GLI-02116-100-seg.nii.gz,True
BraTS-GLI-02116-100,gmm_2d,output\segmentacion\BraTS-GLI-02116-100\BraTS-GLI-02116-100-et_gmm_2d.nii.gz,True,images\BraTS-GLI-02116-100\BraTS-GLI-02116-100-seg.nii.gz,True
BraTS-GLI-02116-100,gmm_T1c,output\segmentacion\BraTS-GLI-02116-100\BraTS-GLI-02116-100-et_gmm_T1c.nii.gz,True,images\BraTS-GLI-02116-100\BraTS-GLI-02116-100-seg.nii.gz,True
BraTS-GLI-02116-100,level_set,output\segmentacion\BraTS-GLI-02116-100\BraTS-GLI-02116-100-et_level_set.nii.gz,True,images\BraTS-GLI-02116-100\BraTS-GLI-02116-100-seg.nii.gz,True
BraTS-GLI-02116-100,otsu_T1c,output\segmentacion\BraTS-GLI-02116-100\BraTS-GLI-02116-100-et_otsu_T1c.nii.gz,True,images\BraTS-GLI-02116-100\BraTS-GLI-02116-100-seg.nii.gz,True
BraTS-GLI-02116-100,rango_doble,output\segmentacion\BraTS-GLI-02116-100\BraTS-GLI-02116-100-et_rango_doble.nii.gz,True,images\BraTS-GLI-02116-100\BraTS-GLI-02116-100-seg.nii.gz,True
BraTS-GLI-02116-100,spline,output\segmentacion\BraTS-GLI-02116-100\BraTS-GLI-02116-100-et_spline.nii.gz,True,images\BraTS-GLI-02116-100\BraTS-GLI-02116-100-seg.nii.gz,True
BraTS-GLI-02116-100,sustraccion,output\segmentacion\BraTS-GLI-02116-100\BraTS-GLI-02116-100-et_sustraccion.nii.gz,True,images\BraTS-GLI-02116-100\BraTS-GLI-02116-100-seg.nii.gz,True
BraTS-GLI-02116-100,variational_spline,output\segmentacion\BraTS-GLI-02116-100\BraTS-GLI-02116-100-et_variational_spline.nii.gz,True,images\BraTS-GLI-02116-100\BraTS-GLI-02116-100-seg.nii.gz,True
BraTS-GLI-02118-100,bspline,output\segmentacion\BraTS-GLI-02118-100\BraTS-GLI-02118-100-et_bspline.nii.gz,True,images\BraTS-GLI-02118-100\BraTS-GLI-02118-100-seg.nii.gz,True
BraTS-GLI-02118-100,fast_marching,output\segmentacion\BraTS-GLI-02118-100\BraTS-GLI-02118-100-et_fast_marching.nii.gz,True,images\BraTS-GLI-02118-100\BraTS-GLI-02118-100-seg.nii.gz,True
BraTS-GLI-02118-100,gmm_2d,output\segmentacion\BraTS-GLI-02118-100\BraTS-GLI-02118-100-et_gmm_2d.nii.gz,True,images\BraTS-GLI-02118-100\BraTS-GLI-02118-100-seg.nii.gz,True
