case_id,run_source,dice_ET,vol_GT,vol_pred,guard_branch,guard_reason
BraTS-GLI-02227-100,resume1_post_wrapper_crash,0.0,0,7234,collapse-detected,empty_prediction
BraTS-GLI-02229-100,resume1_post_wrapper_crash,0.0,0,14118,collapse-detected,empty_prediction
BraTS-GLI-02230-100,resume1_post_wrapper_crash,0.0,0,184551,evolved,accepted
BraTS-GLI-02238-102,resume1_post_wrapper_crash,0.0,26,10636,collapse-detected,empty_prediction
BraTS-GLI-02243-101,resume1_post_wrapper_crash,0.0,2,10263,collapse-detected,empty_prediction
BraTS-GLI-02245-100,resume1_post_wrapper_crash,0.0,0,19868,ROI-fallback,final_equals_init_no_collapse
BraTS-GLI-02245-103,resume1_post_wrapper_crash,0.0445,1089,14312,collapse-detected,empty_prediction
BraTS-GLI-02247-100,resume1_post_wrapper_crash,0.0,8,21345,evolved,accepted
BraTS-GLI-02247-103,resume1_post_wrapper_crash,0.0,18,173580,evolved,accepted
BraTS-GLI-02248-102,resume1_post_wrapper_crash,0.0,0,12388,collapse-detected,empty_prediction
BraTS-GLI-02285-100,resume1_post_wrapper_crash,0.0116,8920,21816,collapse-detected,empty_prediction
BraTS-GLI-02300-101,resume1_post_wrapper_crash,0.0,12673,22584,collapse-detected,empty_prediction
BraTS-GLI-02306-100,resume1_post_wrapper_crash,0.8533,31760,26502,evolved,accepted
BraTS-GLI-02307-101,resume1_post_wrapper_crash,0.0011,10974,29882,collapse-detected,collapsed_small
BraTS-GLI-02344-100,resume1_post_wrapper_crash,0.0,5435,23604,collapse-detected,empty_prediction
BraTS-GLI-02382-100,resume1_post_wrapper_crash,0.5494,23526,45555,collapse-detected,collapsed_small
BraTS-GLI-02498-101,resume1_post_wrapper_crash,0.002,404,246259,evolved,accepted
BraTS-GLI-02549-102,resume1_post_wrapper_crash,0.0557,4065,140277,evolved,accepted
BraTS-GLI-02553-101,resume1_post_wrapper_crash,0.1346,21553,20009,collapse-detected,empty_prediction
BraTS-GLI-02558-101,resume1_post_wrapper_crash,0.091,4525,4530,collapse-detected,empty_prediction
BraTS-GLI-02561-101,resume1_post_wrapper_crash,0.0,299,11969,collapse-detected,empty_prediction
BraTS-GLI-02635-100,resume1_post_wrapper_crash,0.0,0,142154,collapse-detected,empty_prediction
BraTS-GLI-02664-100,resume1_post_wrapper_crash,0.0,0,10389,collapse-detected,empty_prediction
BraTS-GLI-02699-100,resume1_post_wrapper_crash,0.253,14387,29115,collapse-detected,empty_prediction
BraTS-GLI-02701-100,resume1_post_wrapper_crash,0.0,0,27798,evolved,accepted
BraTS-GLI-02744-100,resume1_post_wrapper_crash,0.0,68,18359,collapse-detected,empty_prediction
BraTS-GLI-02744-101,resume1_post_wrapper_crash,0.0,51,10438,collapse-detected,empty_prediction
BraTS-GLI-02746-100,resume1_post_wrapper_crash,0.0,120,15866,collapse-detected,empty_prediction
BraTS-GLI-02753-100,resume1_post_wrapper_crash,0.0021,6097,19658,evolved,accepted
BraTS-GLI-02755-101,resume1_post_wrapper_crash,0.0,705,21959,collapse-detected,empty_prediction
BraTS-GLI-02761-101,resume1_post_wrapper_crash,0.2947,3264,16539,collapse-detected,empty_prediction
BraTS-GLI-02789-101,resume1_post_wrapper_crash,0.0,0,15792,collapse-detected,empty_prediction
BraTS-GLI-02793-100,resume1_post_wrapper_crash,0.0,0,21010,collapse-detected,empty_prediction
BraTS-GLI-02793-101,resume1_post_wrapper_crash,0.0,0,18837,collapse-detected,empty_prediction
BraTS-GLI-02799-100,resume1_post_wrapper_crash,0.0,225,14753,collapse-detected,empty_prediction
BraTS-GLI-02801-100,resume1_post_wrapper_crash,0.4247,13195,23589,collapse-detected,empty_prediction
BraTS-GLI-02801-101,resume1_post_wrapper_crash,0.4041,11347,18164,collapse-detected,empty_prediction
BraTS-GLI-02808-100,resume1_post_wrapper_crash,0.0,1211,21100,collapse-detected,empty_prediction
BraTS-GLI-02817-101,resume1_post_wrapper_crash,0.0004,2809,948692,ROI-fallback,final_equals_init_no_collapse
BraTS-GLI-02828-100,resume1_post_wrapper_crash,0.0,0,278959,evolved,accepted
BraTS-GLI-02833-101,resume1_post_wrapper_crash,0.0,199,20742,collapse-detected,empty_prediction
BraTS-GLI-02835-100,resume1_post_wrapper_crash,0.0,0,27953,evolved,accepted
BraTS-GLI-02836-101,resume1_post_wrapper_crash,0.0,0,15997,collapse-detected,empty_prediction
BraTS-GLI-02851-100,resume1_post_wrapper_crash,0.0,0,20360,collapse-detected,empty_prediction
BraTS-GLI-02866-100,resume1_post_wrapper_crash,0.0,0,18518,collapse-detected,empty_prediction
BraTS-GLI-02866-101,resume1_post_wrapper_crash,0.0,0,13853,collapse-detected,empty_prediction
BraTS-GLI-02895-101,resume1_post_wrapper_crash,0.0,0,13041,collapse-detected,empty_prediction
BraTS-GLI-02897-101,resume1_post_wrapper_crash,0.0,0,15371,collapse-detected,empty_prediction
BraTS-GLI-02901-100,resume1_post_wrapper_crash,0.0,0,18667,collapse-detected,empty_prediction
BraTS-GLI-02905-100,resume1_post_wrapper_crash,0.0,867,82854,evolved,accepted
BraTS-GLI-02917-101,resume1_post_wrapper_crash,0.0,6110,21882,collapse-detected,empty_prediction
BraTS-GLI-02934-101,resume1_post_wrapper_crash,0.0,0,10852,collapse-detected,empty_prediction
BraTS-GLI-02947-100,resume1_post_wrapper_crash,0.0025,482,182201,evolved,accepted
BraTS-GLI-02983-101,resume1_post_wrapper_crash,0.0,1845,19125,collapse-detected,empty_prediction
BraTS-GLI-02984-101,resume1_post_wrapper_crash,0.0,0,16574,collapse-detected,empty_prediction
BraTS-GLI-02985-101,resume1_post_wrapper_crash,0.0,0,29469,collapse-detected,empty_prediction
BraTS-GLI-02992-101,resume1_post_wrapper_crash,0.0,0,11005,collapse-detected,empty_prediction
BraTS-GLI-02996-101,resume1_post_wrapper_crash,0.0,18701,12893,collapse-detected,empty_prediction
BraTS-GLI-03009-100,resume1_post_wrapper_crash,0.2923,11130,34552,collapse-detected,empty_prediction
BraTS-GLI-03010-100,resume1_post_wrapper_crash,0.0,0,21903,collapse-detected,empty_prediction
BraTS-GLI-03019-101,resume1_post_wrapper_crash,0.0038,36755,17405,collapse-detected,empty_prediction
BraTS-GLI-03020-100,resume1_post_wrapper_crash,0.0,13632,17578,collapse-detected,empty_prediction
BraTS-GLI-03025-101,resume1_post_wrapper_crash,0.0,766,11656,collapse-detected,empty_prediction
BraTS-GLI-03026-101,resume1_post_wrapper_crash,0.0005,4326,17736,collapse-detected,empty_prediction
BraTS-GLI-03027-100,resume1_post_wrapper_crash,0.0,1878,24521,collapse-detected,empty_prediction
BraTS-GLI-03027-101,resume1_post_wrapper_crash,0.0,775,13076,collapse-detected,empty_prediction
BraTS-GLI-03059-100,resume2_final_three,0.0034,776,12238,collapse-detected,empty_prediction
BraTS-GLI-03060-102,resume2_final_three,0.0,1007,5407,collapse-detected,empty_prediction
BraTS-GLI-03063-100,resume2_final_three,0.0083,6973,9629,collapse-detected,empty_prediction
